ID,Lon,Lat,sampling_city,type,area_of_roof_sqft_,surrounding_landscape_types,landscaping_species,lawn_samples,lawn_species,site_name,weeds_species,park_number_of_samples,park_species,forest_number_of_samples,forest_species
19,-93.23412,44.97638,Minneapolis,Intensive,4500,"lawn, landscaping","Lilly, 2 ornamental ginger? (circular serrated leaf), basswood, black eyed susan",4,Grass,University of Minnesota David M. Lilly Plaza,,0,,0,
20,-93.27254,44.97659,Minneapolis,Intensive,11200,Landscaping,"Coleus, virginia creeper, 2 boxwood",,,Brits Pub,,0,,0,
21,-93.27011,44.98057,Minneapolis,Semi-intensive,18500,Landscaping,"Sedum like succulent, begonia, 5 honey locust trees",,,Minneapolis Central Library,,0,,0,
22,-93.27856,44.98396,Minneapolis,Extensive,4600,"lawn, landscaping","Upper-Ornamental grass, 2 ornamental birch, ornamental rasberry? Lower/actual: two ornamental rasberrys, 2 cinqapin oaks with mite infestations",6,Grass,Target Field Station Lower Level,,0,,0,
23,-93.27856,44.98396,Minneapolis,Extensive,5600,"lawn, landscaping","Upper-Ornamental grass, 2 ornamental birch, ornamental rasberry? Lower/actual: two ornamental rasberrys, 2 cinqapin oaks with mite infestations",7,Grass,Target Field Station Upper Level,,0,,0,
24,-93.04039,44.97708,Minneapolis,Intensive,8500,"lawn, park",,4,Grass,Bureau of Criminal Apprehension,,4,"3 red pines, red maple",0,
25,-93.2078,44.96771,Minneapolis,Extensive,3000,"lawn, landscaping","Burr Oak, 2 Anemone, basswood",4,Weedy lawn,The Penfield Apartments Green Roof,,0,,0,
26,-93.2078,44.96771,Minneapolis,Intensive,10000,"lawn, landscaping","Burr Oak, 2 Anemone, basswood",4,Weedy lawn,The Penfield Courtyard,,0,,0,
27,-93.12789,44.92681,Minneapolis,Intensive,6000,"lawn, landscaping","2 cores at columbine like plant, 2 cores at juniper, daylilly, ornamental grass, virginia creeper",4,Grass,St. Paul Fire Station,,0,,0,
28,-93.1084,44.66471,Minneapolis,Semi-intensive,1400,"Lawn, weeds",,6,Grass,Empire Wastewater Treatment Plant,"Grass, elm, morpho 16 and 4, morpho 4 thistle and milkweed",0,,0,
29,-93.24153,44.95092,Minneapolis,Extensive,4000,"Weeds, lawn, landscaping","Bee balm, ornamental cherry, ornamental ash, cat mint",4,Grass,Greenway Office Building,"wild carrot, yarrow and clover, grass, clover and thistle, grass",0,,0,
30,-87.785664,42.14461,Chicago,Semi-intensive,9800,"lawn, landscaping","Russian sage, false indigo, butterfly weed, american hazelnut, pineapple",4,Grass,Chicago Botanical Garden,,0,,0,
31,-87.785526,42.144278,Chicago,Extensive,120,"lawn, landscaping","Russian sage, false indigo, butterfly weed, american hazelnut, pineapple",4,Grass,Chicago Botanical Garden Experimental Trays,,0,,0,
32,-87.63521,41.92669,Chicago,Extensive,5500,Landscaping,"Virginia creeper, variegated hosta, wild geranim, large sedum",4,Grass,Peggy Notebaert Nature Museum Roof 1,,0,,0,
33,-87.63521,41.92669,Chicago,Intensive,1600,Landscaping,"Virginia creeper, variegated hosta, wild geranim, large sedum",4,Grass,Peggy Notebaert Nature Museum Roof 2,,0,,0,
34,-87.63521,41.92669,Chicago,Extensive,5000,Landscaping,"Virginia creeper, variegated hosta, wild geranim, large sedum",4,Grass,Peggy Notebaert Nature Museum Roof 3,,0,,0,
35,-87.63521,41.92669,Chicago,Extensive,150,Landscaping,"Virginia creeper, variegated hosta, wild geranim, large sedum",4,Grass,Peggy Notebaert Nature Museum Roof 4,,0,,0,
36,-87.69556,41.86231,Chicago,Intensive,3500,"lawn, landscaping","hosta, variegated hosta, box shrub, honey locust tree",4,Grass,Schwab Rehabilitation Hospital,,0,,0,
37,-87.62047,41.85108,Chicago,Extensive,6500,Landscaping,"coleus, box shrub, viburnum, vine thing, honey locust",,,McCormick Place,,0,,0,
38,-87.63618,41.88091,Chicago,Semi-intensive,14000,"Landscaping, lawn not allowed for sampling","3 honey locusts, 2 ash trees",,,Hyatt Regency,,0,,0,
39,-87.65944,41.90533,Chicago,Extensive,3348,"Weeds, lawn, landscaping","white rose thing, brich tree?, white rose, red maple, virginia creeper",7,Grass,McGrath Acura Downtown,"virginia creeper, 3 clover, 3 grasses",0,,0,
40,-87.7583,42.0258,Chicago,Extensive,5715,"Lawn, Park, Landscaping","begonia, honey locust, ornamental grass, autumn blaze maple",4 forgot to wipe down with ethanol,Grass,Skokie Public Library,,4,"Red pine, 2 ash? See photo, elm",0,
41,-87.65491,41.81012,Chicago,Extensive,45000,"lawn, landscaping","sugar maple, woodruff? See photo, ornamental grass, pine/shrub",6,Grass,Testa Produce,,0,,0,
42,-88.07705,41.64603,Chicago,Semi-intensive,2100,"Weeds, lawn, landscaping","allium, spiky sedum, columbine like plant, juniper, basswood like shrub",6,Grass,Bennett and Brosseau Roofing,"Morpho 4, morpho 4, purple bellflower, purple bellflower, wild carrot",0,,0,
43,-87.67384,41.96181,Chicago,Extensive,400,"lawn, landscaping","daylilly, hosta, columbine, buttercup like thng and lavender like thing",5,Weedy lawn,Lillstreet Art Center,,0,,0,
44,-87.62933,41.90026,Chicago,Extensive,4500,Landscaping,"shrub thing (see photo), tree thing (see photo), pine bush, purple petunia, variegated hosto",,,Ogden International School- East campus,,0,,0,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
